time,conc,temp
0,66.98398762,353.0
0,66.29081079,353.0
70,56.12421729,353.0
70,57.97268883,353.0
155,43.8780933,353.0
155,46.18868273,353.0
280,30.93879249,353.0
280,29.78349777,353.0
480,18.46160956,353.0
480,19.15478639,353.0
600,14.69534878,353.0
600,14.99572541,353.0
0,67.67716444,358.0
0,65.8286929,358.0
45,55.43104046,358.0
45,58.20374778,358.0
105,44.80232907,358.0
105,47.11291851,358.0
190,30.4766746,358.0
190,31.63196932,358.0
340,22.15855265,358.0
340,20.54114004,358.0
510,13.60937175,358.0
510,13.14725386,358.0
0,66.98398762,363.0
0,66.29081079,363.0
30,52.65833314,363.0
30,54.50680469,363.0
70,39.95009127,363.0
70,41.56750387,363.0
130,35.32891241,363.0
130,33.24938192,363.0
230,22.62067053,363.0
230,21.9274937,363.0
360,16.15102013,363.0
360,14.07148964,363.0
0,66.98398762,368.0
0,66.29081079,368.0
20,50.11668477,368.0
20,51.50303843,368.0
50,44.10915224,368.0
50,40.87432704,368.0
90,33.01832297,368.0
90,31.40091037,368.0
100,30.01455671,368.0
100,28.39714411,368.0
150,22.38961159,368.0
150,21.46537582,368.0
160,19.38584533,368.0
160,18.6926685,368.0
200,19.15478639,368.0
200,17.76843273,368.0
250,14.76466647,368.0
250,14.53360752,368.0
0,67.67716444,373.0
0,65.8286929,373.0
15,57.51057095,373.0
15,55.43104046,373.0
40,45.95762379,373.0
40,45.03338802,373.0
65,36.71526606,373.0
65,37.63950184,373.0
120,21.46537582,373.0
120,19.84796322,373.0
240,6.21548557,373.0
240,6.9086624,373.0
0,67.67716444,383.0
0,65.8286929,383.0
10,58.43480672,383.0
10,55.89315834,383.0
20,43.64703436,383.0
20,44.57127013,383.0
35,34.40467663,383.0
35,33.24938192,383.0
60,18.46160956,383.0
60,19.15478639,383.0
150,2.51854248,383.0
150,2.749601423,383.0
0,67.4461055,393.0
0,65.8286929,393.0
5,58.43480672,393.0
5,57.51057095,393.0
10,44.57127013,393.0
10,43.64703436,393.0
18,36.02208923,393.0
18,36.94632501,393.0
35,18.46160956,393.0
35,17.30631484,393.0
120,0.207953049,393.0
120,0.207953049,393.0
0,67.4461055,403.0
0,65.8286929,403.0
3,62.36280875,403.0
3,60.51433721,403.0
6,39.95009127,403.0
6,40.6432681,403.0
11,26.08655468,403.0
11,25.16231891,403.0
18,14.53360752,403.0
18,12.68513598,403.0
60,0.207953049,403.0
60,0.207953049,403.0